ID,W,H
486,383,429
487,181,463
488,429,97
489,247,329
490,483,325
491,171,353
492,155,245
493,469,195
494,117,223
495,429,465
496,301,221
497,445,419
498,259,445
499,233,375
500,367,133
501,73,191
502,273,407
503,201,201
504,401,465
505,201,279
506,441,297
507,203,157
508,179,363
509,71,355
510,399,365
511,187,365
512,433,97
513,339,203
514,87,95
515,435,357
516,293,339
517,377,323
518,311,377
519,457,333
520,355,155
521,339,225
522,445,485
523,235,129
524,469,157
525,115,267
526,121,311
527,379,165
528,349,339
529,401,235
530,149,189
531,493,431
532,419,201
533,291,479
534,193,111
535,205,293
536,469,419
537,69,313
538,193,243
539,137,285
540,261,129
541,63,237
542,265,105
543,403,109
544,119,105
545,169,415
546,205,337
547,257,321
548,273,343
549,175,441
550,373,315
551,457,163
552,441,397
553,291,103
554,299,199
555,171,485
556,201,255
557,297,251
558,281,193
559,129,73
560,483,405
561,107,217
562,285,267
563,491,117
564,469,249
565,499,83
566,225,239
567,357,367
568,91,485
569,257,319
570,235,361
571,133,163
572,453,199
573,225,175
574,127,477
575,175,213
576,79,379
577,447,409
578,63,315
579,367,477
580,233,253
581,169,75
582,343,493
583,95,229
584,179,147
585,293,173
586,393,407
587,449,331
588,411,113
589,91,429
590,93,433
591,451,85
592,435,227
593,339,497
594,103,171
595,457,277
596,201,219
597,91,223
598,317,373
599,383,221
600,181,499
601,447,375
602,425,221
603,135,413
604,439,193
605,263,127
606,215,335
607,343,293
608,193,401
609,241,459
610,253,241
611,117,105
612,283,355
613,361,187
614,407,187
615,77,183
616,231,375
617,325,285
618,263,79
619,245,183
620,489,471
621,451,495
622,383,285
623,97,181
624,265,213
625,175,199
626,135,75
627,341,157
628,131,363
629,383,83
630,131,169
631,179,123
632,375,139
633,285,145
634,83,213
635,315,487
636,481,409
637,397,293
638,223,465
639,191,453
640,71,107
641,255,319
642,123,401
643,265,261
644,223,349
645,343,307
646,159,317
647,427,103
648,265,243
649,269,99
650,453,301
651,449,149
652,207,451
653,93,495
654,113,487
655,95,361
656,281,143
657,481,155
658,341,111
659,107,173
660,499,257
661,151,219
662,489,477
663,415,321
664,179,385
665,123,287
666,251,121
667,485,175
668,179,285
669,107,257
670,161,137
671,427,111
672,95,83
673,127,275
674,357,325
675,95,481
676,159,295
677,283,463
678,213,81
679,267,245
680,453,139
681,101,97
682,207,471
683,105,121
684,435,285
685,471,293
686,379,397
687,157,275
688,81,199
689,463,287
690,275,177
691,473,69
692,257,489
693,411,137
694,109,75
695,417,183
696,75,183
697,341,181
698,215,95
699,187,275
700,285,113
701,183,383
702,369,441
703,71,427
704,367,355
705,129,97
706,201,497
707,459,307
708,331,313
709,75,353
710,69,353
711,189,419
712,201,489
713,241,209
714,421,253
715,125,257
716,231,337
717,175,261
718,493,71
719,333,221
720,253,139
721,441,205
722,77,283
723,387,225
724,133,421
725,485,87
726,231,471
727,377,153
728,71,273
729,213,231
730,465,383
731,185,125
732,335,339
733,167,355
734,447,143
735,491,359
736,103,153
737,115,195
738,447,495
739,377,177
740,237,497
741,243,259
742,139,267
743,477,209
744,173,67
745,471,181
746,195,203
747,139,151
748,305,399
749,457,179
750,437,113
751,101,115
752,125,329
753,379,337
754,149,499
755,159,291
756,377,189
757,377,255
758,273,473
759,157,241
760,91,273
761,291,323
762,83,157
763,119,171
764,193,67
765,211,89
766,155,229
767,171,475
768,297,363
769,251,209
770,87,115
771,497,439
772,337,219
773,153,109
774,123,331
775,101,417
776,397,269
777,487,327
778,391,233
779,487,285
780,235,357
781,173,101
782,177,211
783,413,109
784,107,291
785,481,485
786,125,401
787,151,425
788,101,335
789,283,335
790,447,345
791,389,375
792,133,473
793,429,439
794,275,197
795,341,335
796,245,271
797,293,337
798,123,487
799,363,385
800,337,111
801,93,337
802,295,235
803,269,357
804,473,399
805,427,191
806,335,441
807,221,393
808,447,75
809,235,143
810,469,387
811,237,85
812,331,387
813,371,153
814,91,379
815,151,339
816,153,79
817,155,161
818,485,451
819,227,273
820,155,437
821,115,499
822,129,179
823,315,369
824,257,169
825,255,143
826,449,75
827,289,419
828,137,425
829,77,377
830,371,315
831,467,427
832,77,163
833,479,461
834,207,85
835,223,297
836,105,233
837,203,371
838,359,137
839,373,477
840,321,375
841,387,233
842,455,265
843,405,161
844,287,459
845,323,73
846,93,127
847,309,247
848,313,333
849,211,123
850,219,245
851,437,209
852,401,445
853,355,149
854,119,263
855,219,77
856,205,167
857,453,453
858,317,205
859,205,441
860,497,169
861,147,111
862,395,169
863,261,365
864,495,307
865,461,363
866,63,313
867,211,307
868,93,167
869,335,393
870,243,65
871,493,259
872,465,175
873,279,423
874,91,471
875,453,239
876,103,477
877,475,279
878,469,133
879,105,399
880,377,403
881,77,217
882,129,101
883,427,177
884,233,405
885,345,465
886,109,113
887,301,339
888,113,249
889,397,97
890,433,131
891,453,133
892,427,399
893,125,347
894,163,91
895,167,281
896,439,491
897,389,255
898,451,425
899,271,371
900,197,323
901,125,167
902,385,325
903,295,365
904,453,169
905,347,141
906,141,409
907,259,135
908,433,133
909,109,295
910,105,307
911,69,215
912,107,81
913,421,265
914,275,157
915,491,493
916,95,329
917,365,353
918,175,463
919,325,259
920,139,67
921,455,273
922,123,305
923,129,159
924,171,341
925,445,115
926,219,355
927,339,101
928,213,223
929,159,193
930,179,445
931,149,387
932,73,181
933,73,459
934,259,301
935,329,231
936,67,331
937,187,243
938,279,159
939,419,155
940,101,477
941,369,159
942,443,327
943,195,425
944,99,465
945,431,337
946,341,397
947,75,185
948,351,369
949,325,257
950,337,393
951,345,99
952,223,497
953,333,469
954,347,331
955,411,109
956,217,327
957,289,395
958,439,315
959,227,139
960,431,439
961,143,155
962,271,347
963,101,283
964,407,279
965,459,249
966,259,61
967,369,271
968,251,67
969,431,311
970,477,107
971,365,201
972,207,193
973,181,309
974,163,321
975,141,477
976,497,411
977,297,425
978,321,453
979,237,261
980,487,219
981,145,327
982,369,379
983,477,285
984,409,139
985,157,263
986,91,261
987,485,329
988,155,309
989,469,283
990,473,231
991,117,145
992,193,361
993,363,405
994,237,345
995,373,177
996,77,443
997,173,113
998,105,153
999,305,303
1000,239,243
1001,327,407
1002,499,401
1003,351,299
1004,129,173
1005,165,391
1006,463,205
1007,465,207
1008,493,89
1009,175,187
1010,229,427
1011,373,223
1012,309,333
1013,229,71
1014,107,135
1015,123,357
1016,203,215
1017,257,117
1018,181,343
1019,457,149
1020,377,187
1021,199,329
1022,317,167
1023,221,103
1024,61,289
1025,389,497
1026,117,227
1027,129,345
1028,175,63
1029,187,431
1030,327,335
1031,347,471
1032,497,215
1033,99,193
1034,305,107
1035,165,73
1036,151,403
1037,271,423
1038,197,183
1039,337,441
1040,345,221
1041,345,89
1042,491,121
1043,111,159
1044,247,287
1045,263,465
1046,233,497
1047,455,309
1048,167,155
1049,197,415
1050,63,491
1051,87,333
1052,191,115
1053,457,297
1054,427,315
1055,393,231
1056,209,209
1057,435,343
1058,113,317
1059,467,455
1060,453,415
1061,435,223
1062,427,167
1063,181,235
1064,233,139
1065,351,255
1066,267,379
1067,497,249
1068,375,373
1069,415,437
1070,181,199
1071,257,91
1072,307,393
1073,87,495
1074,495,89
1075,267,475
1076,277,495
1077,475,149
1078,259,139
1079,425,483
1080,415,467
1081,449,371
1082,379,401
1083,113,285
1084,437,257
1085,487,451
1086,339,387
1087,255,243
1088,77,479
1089,71,115
1090,129,455
1091,399,163
1092,473,127
1093,355,281
1094,273,497
1095,417,431
1096,401,455
1097,347,437
1098,323,333
1099,461,199
1100,245,373
1101,433,121
1102,139,213
1103,199,109
1104,219,267
1105,431,349
1106,247,347
1107,105,233
1108,307,95
1109,135,479
1110,269,161
1111,409,255
1112,239,99
1113,299,445
1114,259,349
1115,131,165
1116,279,255
1117,217,385
1118,409,137
1119,259,285
1120,341,389
1121,495,321
1122,87,261
1123,495,297
1124,451,273
1125,231,177
1126,495,159
1127,145,311
1128,69,239
1129,367,309
1130,331,221
1131,417,399
1132,105,267
1133,285,203
1134,471,335
1135,241,393
1136,237,277
1137,273,377
1138,85,289
1139,285,213
1140,441,349
1141,195,219
1142,161,85
1143,275,205
1144,427,319
1145,303,67
1146,393,103
1147,235,213
1148,85,421
1149,381,273
1150,431,359
1151,129,79
1152,459,455
1153,113,323
1154,351,77
1155,445,111
1156,187,131
1157,127,277
1158,225,277
1159,427,471
1160,237,359
1161,131,133
1162,351,229
1163,149,367
1164,327,463
1165,213,145
1166,115,83
1167,117,261
1168,205,329
1169,305,303
1170,423,473
1171,245,425
1172,127,463
1173,137,405
1174,359,321
1175,87,387
1176,227,243
1177,437,451
1178,233,109
1179,161,143
1180,323,269
1181,191,355
1182,323,105
1183,293,309
1184,463,425
1185,381,373
1186,363,159
1187,299,223
1188,443,349
1189,63,109
1190,389,405
1191,113,177
1192,209,223
1193,261,127
1194,365,107
1195,259,383
1196,483,401
1197,125,355
1198,159,95
1199,155,179
1200,245,139
1201,359,251
1202,139,457
1203,433,183
1204,161,185
1205,361,139
1206,459,281
1207,363,397
1208,421,143
1209,65,199
1210,101,65
1211,267,223
1212,479,135
1213,485,169
1214,63,475
1215,217,421
1216,251,149
1217,423,201
1218,283,301
1219,279,323
1220,417,205
1221,241,437
1222,261,239
1223,245,287
1224,253,413
1225,355,289
1226,89,97
1227,433,253
1228,371,309
1229,241,165
1230,139,265
1231,449,311
1232,293,131
1233,201,277
1234,467,271
1235,285,163
1236,451,127
1237,87,91
1238,475,247
1239,263,79
1240,359,377
1241,279,117
1242,189,181
1243,117,171
1244,131,385
1245,465,235
1246,435,365
1247,113,313
1248,161,491
1249,273,187
1250,371,99
1251,431,351
1252,361,403
1253,497,245
1254,459,137
1255,267,381
1256,193,473
1257,445,173
1258,163,367
1259,455,159
1260,375,391
1261,393,391
1262,405,459
1263,423,113
1264,241,465
1265,265,373
1266,403,89
1267,305,193
1268,123,105
1269,459,467
1270,291,327
1271,495,89
1272,339,381
1273,499,117
1274,415,497
1275,361,123
1276,327,97
1277,415,97
1278,379,101
1279,447,491
1280,405,205
1281,455,169
1282,401,315
1283,403,487
1284,359,177
1285,435,261
1286,123,229
1287,169,253
1288,329,159
1289,385,69
1290,223,359
1291,237,479
1292,471,301
1293,321,469
1294,385,251
1295,463,437
1296,225,413
1297,365,469
1298,489,113
1299,135,245
1300,321,493
1301,185,353
1302,291,395
1303,305,437
1304,161,459
1305,277,417
1306,69,349
1307,165,341
1308,437,449
1309,359,371
1310,397,181
1311,287,275
1312,491,355
1313,239,139
1314,367,151
1315,135,281
1316,471,63
1317,219,443
1318,419,467
1319,439,167
1320,311,475
1321,73,227
1322,165,71
1323,459,107
1324,269,185
1325,259,331
1326,301,389
1327,71,135
1328,321,339
1329,315,421
1330,401,477
1331,141,189
1332,441,341
1333,303,407
1334,107,359
1335,319,489
1336,403,487
1337,339,409
1338,217,461
1339,499,219
1340,301,175
1341,265,349
1342,359,159
1343,459,425
1344,205,87
1345,267,315
1346,91,323
1347,357,125
1348,391,367
1349,309,485
1350,433,367
1351,427,259
1352,169,127
1353,265,441
1354,479,83
1355,233,67
1356,123,311
1357,191,79
1358,73,355
1359,245,65
1360,489,97
1361,455,425
1362,75,311
1363,125,123
1364,185,487
1365,341,373
1366,385,475
1367,481,221
1368,301,181
1369,497,295
1370,69,231
1371,201,201
1372,109,167
1373,61,169
1374,69,445
1375,483,473
1376,207,231
1377,81,281
1378,97,215
1379,417,89
1380,397,333
1381,91,89
1382,495,423
1383,101,253
1384,213,327
1385,223,307
1386,401,255
1387,79,293
1388,259,229
1389,203,281
1390,167,309
1391,291,91
1392,189,431
1393,389,293
1394,455,223
1395,477,113
1396,411,385
1397,351,197
1398,469,63
1399,433,417
1400,75,281
1401,249,89
1402,83,155
1403,77,199
1404,91,441
1405,235,189
1406,261,251
1407,245,451
1408,379,103
1409,169,75
1410,301,199
1411,389,153
1412,249,105
1413,173,395
1414,341,305
1415,399,481
1416,497,93
1417,337,115
1418,61,301
1419,435,347
1420,103,399
1421,315,199
1422,445,333
1423,83,225
1424,309,133
1425,331,235
1426,473,65
1427,423,183
1428,73,355
1429,155,337
1430,327,97
1431,357,463
1432,433,479
1433,321,409
1434,419,233
1435,401,125
1436,449,337
1437,473,495
1438,215,227
1439,441,367
1440,329,123
1441,489,191
1442,145,333
1443,285,351
1444,481,479
1445,189,309
1446,437,163
1447,269,81
1448,471,145
1449,161,397
1450,343,177
1451,325,433
1452,241,141
1453,289,233
1454,367,195
1455,115,193
1456,263,299
1457,107,195
1458,313,175
1459,251,323
1460,203,99
1461,183,97
1462,193,155
1463,425,143
1464,281,319
1465,297,237
1466,73,495
1467,393,249
1468,481,319
1469,461,283
1470,357,419
1471,71,243
1472,119,269
1473,139,459
1474,259,319
1475,247,461
1476,245,91
1477,195,209
1478,467,395
1479,387,237
1480,251,375
1481,405,241
1482,399,105
1483,393,455
1484,163,421
1485,397,167
1486,447,165
1487,101,287
1488,497,265
1489,119,67
1490,387,163
1491,191,221
1492,75,193
1493,457,353
1494,365,151
1495,197,115
1496,135,421
1497,443,263
1498,467,293
1499,355,287
1500,445,87
1501,415,203
1502,227,79
1503,229,417
1504,217,217
1505,333,409
1506,363,337
1507,155,475
1508,297,117
1509,99,153
1510,485,347
1511,363,205
1512,397,253
1513,413,291
1514,481,331
1515,441,191
1516,385,307
1517,237,71
1518,347,371
1519,309,391
1520,113,75
1521,133,297
1522,337,175
1523,133,385
1524,245,315
1525,241,183
1526,203,83
1527,445,103
1528,187,99
1529,301,475
1530,73,129
1531,69,263
1532,259,469
1533,305,221
1534,483,115
1535,349,315
1536,299,321
1537,337,249
1538,129,303
1539,369,61
1540,345,401
1541,487,181
1542,307,71
1543,197,441
1544,409,153
1545,85,475
1546,339,191
1547,317,111
1548,383,85
1549,233,321
1550,289,289
1551,211,319
1552,387,325
1553,409,65
1554,447,267
1555,493,117
1556,397,297
1557,147,257
1558,429,249
1559,285,279
1560,455,483
1561,493,133
1562,479,127
1563,347,455
1564,65,103
1565,489,189
1566,485,211
1567,317,97
1568,301,351
1569,431,339
1570,73,431
1571,373,311
1572,81,163
1573,285,145
1574,169,373
1575,305,97
1576,397,69
1577,195,111
1578,151,377
1579,429,375
1580,185,161
1581,425,435
1582,189,167
1583,133,277
1584,217,101
1585,401,323
1586,269,399
1587,167,265
1588,495,115
1589,133,397
1590,443,441
1591,147,125
1592,271,65
1593,329,349
1594,435,147
1595,411,441
1596,367,237
1597,385,195
1598,333,93
1599,83,225
1600,63,69
1601,413,179
1602,443,403
1603,81,77
1604,433,157
1605,213,485
1606,177,311
1607,121,127
1608,239,477
1609,253,201
1610,409,327
1611,263,267
1612,87,207
1613,491,129
1614,151,439
1615,475,475
1616,285,131
1617,235,403
1618,365,319
1619,485,253
1620,247,479
1621,297,165
1622,171,499
1623,213,219
1624,193,377
1625,431,83
1626,379,219
1627,397,253
1628,409,453
1629,297,451
1630,449,463
1631,385,329
1632,167,341
1633,317,273
1634,227,205
1635,383,365
1636,199,353
1637,445,467
1638,429,485
1639,477,115
1640,399,279
1641,311,71
1642,499,143
1643,287,345
1644,179,85
1645,89,299
1646,89,403
1647,281,155
1648,313,181
1649,497,335
1650,265,325
1651,257,99
1652,353,401
1653,429,343
1654,477,175
1655,479,89
1656,485,95
1657,297,311
1658,477,311
1659,361,145
1660,67,77
1661,459,151
1662,463,63
1663,397,487
1664,285,313
1665,101,479
1666,473,453
1667,149,277
1668,327,171
1669,289,223
1670,73,161
1671,439,477
1672,485,427
1673,487,127
1674,395,157
1675,361,189
1676,191,253
1677,381,431
1678,459,287
1679,235,385
1680,135,217
1681,405,487
1682,461,397
1683,389,163
1684,167,255
1685,337,191
1686,215,129
1687,183,249
1688,309,131
1689,143,489
1690,413,437
1691,107,163
1692,341,203
1693,489,115
1694,251,139
1695,313,377
1696,367,63
1697,85,461
1698,321,313
1699,347,335
1700,433,181
1701,345,355
1702,419,467
1703,161,367
1704,87,181
1705,67,219
1706,371,441
1707,173,415
1708,197,147
1709,353,201
1710,207,123
1711,243,89
1712,263,233
1713,223,401
1714,497,125
1715,367,469
1716,423,63
1717,171,141
1718,189,75
1719,487,443
1720,401,153
1721,193,225
1722,485,187
1723,269,493
1724,261,147
1725,89,263
1726,493,391
1727,119,285
1728,493,413
1729,451,293
1730,81,267
1731,183,231
1732,265,427
1733,171,195
1734,355,391
1735,307,309
1736,393,259
1737,309,291
1738,323,159
1739,349,269
1740,483,165
1741,189,81
1742,481,483
1743,431,477
1744,465,465
1745,65,117
1746,79,303
1747,421,255
1748,295,169
1749,151,173
1750,299,235
1751,337,191
1752,75,411
1753,407,123
1754,385,375
1755,371,311
1756,103,171
1757,175,171
1758,413,447
1759,283,85
1760,369,241
1761,179,215
1762,445,235
1763,373,189
1764,441,393
1765,131,285
1766,305,495
1767,433,199
1768,363,237
1769,77,489
1770,117,459
1771,273,413
1772,389,345
1773,141,185
1774,353,421
1775,367,273
1776,155,83
1777,475,203
1778,151,125
1779,481,321
1780,119,337
1781,283,165
1782,93,449
1783,371,159
1784,403,203
1785,211,213
1786,81,409
1787,345,361
1788,145,79
1789,385,361
1790,75,273
1791,345,201
1792,363,391
1793,205,153
1794,197,485
1795,259,319
1796,211,67
1797,363,153
1798,379,489
1799,107,153
1800,489,205
1801,433,253
1802,87,447
1803,469,201
1804,63,185
1805,149,391
1806,355,87
1807,435,103
1808,269,77
1809,407,409
1810,393,305
1811,207,361
1812,355,85
1813,251,127
1814,415,121
1815,381,119
1816,231,113
1817,225,125
1818,189,485
1819,431,441
1820,465,367
1821,177,73
1822,429,117
1823,447,325
1824,91,465
1825,191,339
1826,423,159
1827,335,161
1828,339,289
1829,213,111
1830,69,367
1831,353,473
1832,345,105
1833,287,371
1834,135,219
1835,121,165
1836,493,277
1837,277,425
1838,367,191
1839,351,191
1840,435,221
1841,383,293
1842,103,71
1843,395,245
1844,375,93
1845,233,117
1846,407,255
1847,405,189
1848,69,311
1849,115,195
1850,327,301
1851,437,447
1852,277,455
1853,157,437
1854,105,335
1855,147,247
1856,341,283
1857,195,431
1858,289,487
1859,331,461
1860,315,173
1861,247,259
1862,161,323
1863,323,63
1864,271,245
1865,185,237
1866,211,147
1867,413,459
1868,111,317
1869,141,435
1870,91,71
1871,241,443
1872,157,291
1873,255,419
1874,93,327
1875,73,275
1876,75,249
1877,417,81
1878,415,99
1879,437,411
1880,217,319
1881,229,353
1882,265,335
1883,487,239
1884,197,309
1885,363,431
1886,151,287
1887,183,153
1888,435,393
1889,177,263
1890,339,93
1891,173,461
1892,289,405
1893,91,209
1894,319,171
1895,449,173
1896,159,219
1897,495,249
1898,145,327
1899,209,111
1900,129,143
1901,285,109
1902,483,375
1903,351,359
1904,211,235
1905,261,213
1906,83,111
1907,337,217
1908,271,179
1909,383,453
1910,223,363
1911,203,413
1912,301,81
1913,367,415
1914,97,113
1915,205,373
1916,225,453
1917,367,141
1918,409,495
1919,147,167
1920,355,233
1921,125,113
1922,239,465
1923,247,233
1924,485,169
1925,359,285
1926,465,217
1927,313,295
1928,81,403
1929,475,61
1930,345,433
1931,117,179
1932,167,455
1933,269,347
1934,391,65
1935,121,215
1936,73,235
1937,165,145
1938,143,457
1939,417,115
1940,413,85
1941,315,409
1942,245,497
1943,239,453
1944,119,415
1945,477,193
1946,81,277
1947,357,127
1948,129,179
1949,357,143
1950,407,137
1951,63,143
1952,313,461
1953,73,251
1954,255,255
1955,297,499
1956,443,353
1957,497,139
1958,195,301
1959,143,129
1960,449,399
1961,455,141
1962,451,263
1963,187,361
1964,413,133
1965,345,447
1966,271,63
1967,361,329
1968,141,223
1969,431,165
1970,397,427
1971,367,91
1972,469,233
1973,433,225
1974,117,249
1975,187,139
1976,189,253
1977,473,421
1978,157,209
1979,301,439
1980,175,453
1981,225,99
1982,493,477
1983,103,401
1984,291,251
1985,133,159
1986,461,471
1987,469,95
1988,499,363
1989,221,383
1990,113,177
1991,465,93
1992,437,363
1993,285,463
1994,491,389
1995,87,179
1996,277,475
1997,151,469
1998,205,425
1999,445,473
2000,219,403
2001,385,195
2002,457,249
2003,339,315
2004,119,63
2005,157,257
2006,111,133
2007,441,477
2008,433,121
2009,161,337
2010,375,347
2011,441,115
2012,205,95
2013,481,61
2014,231,395
2015,447,75
2016,105,223
2017,455,357
2018,457,121
2019,253,431
2020,203,469
2021,199,385
2022,351,329
2023,115,125
2024,365,193
2025,357,217
2026,411,359
2027,291,353
2028,195,329
2029,131,273
2030,211,209
2031,385,191
2032,187,117
2033,83,451
2034,297,213
2035,237,251
2036,417,471
2037,307,355
2038,125,425
2039,63,459
2040,393,195
2041,443,397
2042,155,177
2043,237,415
2044,123,403
2045,317,395
2046,485,71
2047,149,69
2048,485,363
2049,295,227
2050,295,459
2051,367,109
2052,287,265
2053,271,411
2054,179,289
2055,439,429
2056,411,481
2057,87,473
2058,499,297
2059,495,101
2060,455,403
2061,145,87
2062,469,187
2063,243,69
2064,255,169
2065,119,131
2066,179,211
2067,295,473
2068,489,487
2069,127,347
2070,397,303
2071,373,331
2072,99,401
2073,97,397
2074,349,471
2075,469,111
2076,405,409
2077,87,167
2078,193,421
2079,257,253
2080,241,481
2081,271,71
2082,393,491
2083,371,385
2084,83,457
2085,187,159
2086,73,489
2087,75,379
2088,403,203
2089,191,153
2090,379,439
2091,167,105
2092,351,149
2093,261,345
2094,193,195
2095,125,307
2096,437,403
2097,177,65
2098,397,67
2099,357,303
2100,309,161
2101,205,71
2102,81,187
2103,347,181
2104,281,395
2105,161,209
2106,301,89
2107,173,163
2108,305,185
2109,293,85
2110,473,99
2111,231,389
2112,327,487
2113,313,365
2114,75,299
2115,355,95
2116,69,331
2117,213,241
2118,155,497
2119,263,465
2120,491,369
2121,129,133
2122,339,357
2123,371,89
2124,117,185
2125,171,495
2126,75,163
2127,181,223
2128,223,463
2129,307,99
2130,105,83
2131,189,135
2132,407,265
2133,499,399
2134,349,157
2135,323,463
2136,225,469
2137,85,185
2138,159,363
2139,211,209
